Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,"Yemen, Rep.",YEM,0.321606426,0.841074757,1.01197481,0.865783086,0.764021452,1.013754066,0.955250966,0.49709107,0.390479572,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Zambia,ZMB,0.304334475,0.174972043,0.197823105,0.208411807,0.254266867,0.265078347,0.292412222,0.285427858,0.314182895,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Zimbabwe,ZWE,1.499500643,1.171874423,0.614549238,0.746236404,0.600302734,0.881704578,0.891738608,0.891623872,0.782776886,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Arab World,ARB,2.940999793,3.706922177,4.63064477,4.572406668,4.956928314,4.801389535,4.981329527,4.933420267,4.712844702,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Caribbean small states,CSS,5.23512714,6.564415209,9.381521211,9.104854517,8.871625759,9.160637887,8.881443548,8.760024076,8.490805688,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Central Europe and the Baltics,CEB,9.014576307,6.603403707,6.836075428,6.882900239,6.529346338,6.371815607,6.128367841,6.236442512,6.377623318,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Early-demographic dividend,EAR,1.40185075,1.713663061,2.123035505,2.17420495,2.260197964,2.187684539,2.273706342,2.34118431,2.345692627,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,East Asia & Pacific,EAS,2.622281133,3.195115696,5.686410303,6.134879644,6.25506121,6.290310164,6.232051198,6.18777668,6.071788628,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,East Asia & Pacific (excluding high income),EAP,1.835737083,2.305961144,5.088742237,5.579746638,5.708742627,5.746777185,5.710262977,5.682753291,5.562986278,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,East Asia & Pacific (IDA & IBRD countries),TEA,1.781236585,2.296744134,5.127014651,5.631312816,5.761212493,5.805046333,5.766244989,5.741287793,5.618534242,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Euro area,EMU,..,8.207584254,7.426659572,7.156375347,6.99436984,6.846647273,6.476254786,6.590380058,6.54514044,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Europe & Central Asia,ECS,11.58698302,7.627069792,7.543320982,7.511157131,7.452913808,7.247528046,6.959796466,6.865377973,6.882181867,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Europe & Central Asia (excluding high income),ECA,16.91289952,7.070263915,7.767354713,8.098978641,8.155190195,7.865177658,7.711467512,7.484060734,7.583597179,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Europe & Central Asia (IDA & IBRD countries),TEC,15.31620384,6.95232558,7.607798673,7.909453558,7.909957087,7.643998075,7.473582553,7.286477422,7.400544027,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,European Union,EUU,8.457378117,7.850247676,7.286562353,7.081015183,6.859612902,6.70396227,6.361381025,6.449698615,6.468462215,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Fragile and conflict affected situations,FCS,0.934014373,1.017972274,1.089970332,1.06783567,1.073823964,1.073467832,1.06927475,1.004972428,1.000501266,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Heavily indebted poor countries (HIPC),HPC,0.167711989,0.164325917,0.225934722,0.239315362,0.248882892,0.254146983,0.270339835,0.277641324,0.276852353,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,High income,HIC,11.29258428,12.04081353,11.34992618,11.09835466,10.96568358,10.90768417,10.77263453,10.64911958,10.39292983,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,IBRD only,IBD,3.153042202,2.63764493,4.122790948,4.392302904,4.49684383,4.486056696,4.502218522,4.46147246,4.41863084,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,IDA & IBRD total,IBT,2.635736514,2.18162326,3.279766601,3.481417376,3.546536799,3.528802806,3.535296574,3.494251615,3.453641353,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,IDA blend,IDB,0.843792309,0.946423937,0.930488575,0.977828797,0.924844422,0.907900279,0.925538236,0.896113285,0.887013216,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,IDA only,IDX,0.250618223,0.264364664,0.347579116,0.352283207,0.343282136,0.348074658,0.360021764,0.368891694,0.379888948,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,IDA total,IDA,0.45139351,0.494448304,0.543394766,0.562766774,0.53914889,0.536814153,0.550867127,0.546941087,0.551236124,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Late-demographic dividend,LTE,4.384093053,3.402385549,6.064150331,6.544792846,6.706775208,6.776852527,6.757078441,6.619717202,6.491777139,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Latin America & Caribbean,LCN,2.28807275,2.605998406,2.935517141,2.941396458,3.032215811,3.060624884,3.069788141,3.009331053,2.922629082,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Latin America & Caribbean (excluding high income),LAC,2.240698319,2.509439504,2.792493899,2.78711822,2.883977062,2.909831985,2.931595554,2.863588418,2.778061233,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Latin America & the Caribbean (IDA & IBRD countries),TLA,2.247863631,2.585071673,2.901406659,2.916179112,3.009183147,3.041433186,3.050979265,2.986248167,2.901532656,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Least developed countries: UN classification,LDC,0.137966533,0.16931894,0.278232587,0.287765575,0.288088726,0.302332619,0.331658064,0.328037636,0.341969015,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Low & middle income,LMY,2.561610431,2.122694378,3.226456378,3.424843352,3.49510902,3.476622993,3.488356906,3.445789679,3.4039735,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Low income,LIC,0.680344978,0.42293308,0.386454616,0.348702346,0.318067174,0.297719018,0.304233225,0.272805408,0.271829641,..,..,..
